x0005,y0005
1445,11708055.4,
1446,11709685.82,
1447,11710410.41,
1448,11709941.32,
1449,11710558.28,
1450,11709969.28,
1451,11710269.92,
1452,11709318.7,
1453,11709647.83,
1454,11709700.74,
1455,11711022.16,
1456,11711984.29,
1457,11710726.14,
1458,11711060.43,
1459,11710086.28,
1460,11711343.5,
1461,11710771.4,
1462,11710971.73,
1463,11710869.18,
1464,11710567.79,
1465,11710128.36,
1466,11711370.63,
1467,11710478.06,
1468,11710634.84,
1469,11711153.27,
1470,11710925.02,
1471,11710661.74,
1472,11711781.55,
1473,11711067.08,
1474,11713105.99,
1475,11713965.33,
1476,11713008.01,
1477,11711845.06,
1478,11713769.6,
1479,11712017.17,
1480,11712730.78,
1481,11712881.42,
1482,11711575.45,
1483,11711617.32,
1484,11712723.02,
1485,11711696.59,
1486,11713177.91,
1487,11711278.93,
1488,11712708.13,
1489,11712746.69,
1490,11710504.97,
1491,11712629.45,
1492,11713428.73,
1493,11714074.98,
1494,11713196.68,
1495,11712724.66,
1496,11711884.72,
1497,11713126.24,
1498,11712902.81,
