start,end,ori,sf,tf,contrast
9818,9909,90,0.32,2,0.8
13572,13662,90,0.32,2,0.8
16425,16515,90,0.32,2,0.8
95858,95948,90,0.32,2,0.8
107570,107660,90,0.32,2,0.8
118231,118321,90,0.32,2,0.8
122135,122225,90,0.32,2,0.8
207875,207965,90,0.32,2,0.8
46006,46096,90,0.32,4,0.8
80092,80182,90,0.32,4,0.8
96759,96849,90,0.32,4,0.8
100813,100903,90,0.32,4,0.8
123787,123877,90,0.32,4,0.8
142857,142947,90,0.32,4,0.8
209076,209166,90,0.32,4,0.8
211929,212019,90,0.32,4,0.8
8917,9008,90,0.32,8,0.8
54865,54955,90,0.32,8,0.8
68530,68620,90,0.32,8,0.8
100663,100753,90,0.32,8,0.8
147812,147902,90,0.32,8,0.8
172588,172678,90,0.32,8,0.8
180546,180636,90,0.32,8,0.8
190456,190546,90,0.32,8,0.8
79040,79131,90,0.32,15,0.8
83695,83785,90,0.32,15,0.8
108471,108561,90,0.32,15,0.8
115228,115318,90,0.32,15,0.8
191808,191898,90,0.32,15,0.8
199015,199105,90,0.32,15,0.8
232350,232440,90,0.32,15,0.8
239557,239648,90,0.32,15,0.8
29489,29579,135,0.02,1,0.8
35045,35135,135,0.02,1,0.8
58019,58109,135,0.02,1,0.8
64625,64716,135,0.02,1,0.8
119132,119222,135,0.02,1,0.8
148262,148353,135,0.02,1,0.8
170786,170876,135,0.02,1,0.8
231599,231689,135,0.02,1,0.8
35946,36036,135,0.02,2,0.8
75587,75677,135,0.02,2,0.8
104717,104807,135,0.02,2,0.8
143908,143998,135,0.02,2,0.8
150215,150305,135,0.02,2,0.8
152167,152257,135,0.02,2,0.8
156671,156761,135,0.02,2,0.8
157872,157963,135,0.02,2,0.8
49460,49550,135,0.02,4,0.8
75287,75377,135,0.02,4,0.8
143157,143247,135,0.02,4,0.8
170636,170726,135,0.02,4,0.8
188955,189045,135,0.02,4,0.8
189856,189946,135,0.02,4,0.8
220037,220127,135,0.02,4,0.8
236404,236494,135,0.02,4,0.8
6515,6605,135,0.02,8,0.8
8017,8107,135,0.02,8,0.8
106369,106459,135,0.02,8,0.8
